Element,Count
b'+\x13\x0f\x8e',12185
b'\x82:\xd6;',12181
b'p\xe5\x17 ',12164
b'1\x1e\xdb\x0b',12156
b'm\x93\x08Z',12089
b'{\xdb\xae\xbd',12007
b'H\xc5\x90\xd6',12006
b'\x9d\r\xa9\xb4',12004
b'y\x83\xcc\x8d',11977
b'm\x93\x08\x0c',11964
b'\xd0}&\xc0',11897
b'jT&\xd4',11869
b'\x82\x1a\xac\x05',11805
b'p\x7f\xc4\xc1',11788
b'p\x97\xa1_',11753
b'\xcb\x9c9I',11745
b'\xdc\x1bP\xc5',11734
b'jT&\x8a',11650
b'\x84; \x12',11616
b'q\xa1\x13\x98',11606
b'\xdc\x1bP\xec',11570
b'jT&\x92',11568
b'l!wI',11563
b'$\x07\x0fR',11495
b'\xd8\xcf\xe7\x06',11439
b'Dd\xcce',11432
b'r\x06\xa3a',11431
b'\x84\xc7\xd3&',11332
b'jT&\xda',11171
b'\xd2\x1d\x03\xdb',11153
b'#\xf0\xc2\xfb',11150
b'\x9d\r\xa9/',11124
b'r\x00\xba\x80',11014
b'\x8ep:\x19',11011
b'\x84; \x16',10999
b'\x84; \x13',10996
b'\x802)\xf1',10941
b'pw\xbe\xe5',10940
b'jT&\x8f',10938
b'\x01l|\xab',10924
b'f\x06\\\x1e',10864
b'\xd6Q\x9a\t',10820
b'M\xb9cq',10815
b'C\x8c}\x00',10772
b'\x801\xa5\xc8',10749
b'\xcf\x80C\xe1',10745
b'f\x06\x9c\x86',10738
b'm\x93\x08^',10710
b'\x99\xc1\x8f\x04',10704
"b'\x06\x88,\x96'",10698
"b'\x93b""\x08'",10654
b'p\x97\xa1^',10646
b'uF\xb0\xec',10628
b'\x9d\r\xaa\x10',10610
b'p\x97\xa1\xa0',10582
b'u[YN',10497
b'\x01`[\x11',10471
"b'\xcb""q\xa0'",10436
b'jT&\xde',10432
b'\x821B\xd9',10355
b'\x90\xbb\x145',10338
b'\xd3I\x07S',10284
b'Lo\x1a\x06',10243
b'\x82/Jb',10216
b'E\x0c\xd5\xef',10183
b'\x1cA\xfd\xe2',10171
b'w\xe6\xc8`',10147
b'pp\xd3\x00',10147
b'\xcf\x88\xd9s',10131
b'{\xed5\xc3',10120
b'~.~\x13',10118
b'\x82\x08\xe6\xe4',10008
b'p\x97\xa6\xdd',9991
b'\nH\x82H',9975
b'\x82/*\x1c',9927
b'z\x0c\x01M',9926
b'\xb7\xd4|4',9908
b'\xc5Z\xee\xf1',9885
b'\x80&\x89\xc7',9857
b'\x800\xeeP',9850
b'p\x97\xa1]',9816
b'\xd8\x11\xd8\xd3',9811
b'^\x00\xaa\xcc',9800
b'\r\x1c\xed\xe1',9787
b'\xd2\x16\xf9\xab',9780
"b""l\xd7'\xb9""",9731
b'\xd3\x19*~',9725
b'\xc9{\x86\x03',9631
b'uER\x02',9561
b'l\x15\xe4\xa6',9519
b'\xcf\x96\xd4\x8b',9469
b'E\xc3\xc0s',9429
b'\xdd\x01b\xde',9419
b'A\xad6_',9413
"b""\x1d\x99'\xce""",9409
b'H\r\n7',9399
b'\xd0}N\xda',9298
b'\x1cF\xbf\xe3',9283
b'<\x8f+\xc4',9231
b'\xcf\x8aJ6',9230
b'c9\xbb\xf5',9228
b'w\xe2\xc0D',9208
b'\xd8\x1eL\xf8',9185
b'\xd9R\xc4\x19',9151
b'\x11*\xab\xcb',9104
b'++/\xdd',9077
b'lw\x0e\xd2',9048
b'+\xcd\xee\x82',9039
b'9 \xd58',9010
b'\xca\xd3V\x1c',9006
b'\xdc\x1bP\xe0',8949
b'\xd2-\xb8%',8949
b'lw\x05t',8918
b'\nN\xd3s',8908
b'c9\xbb\xef',8900
b'c9\xbb\xfb',8862
b'\xca\xd7\x80\x8b',8838
b'z\x00xB',8832
b'\x89\xe3.\xd4',8824
b'u_e\xed',8784
b'p\x97\xa1\x83',8761
b'\xcf\x88\x0c\xa6',8752
b'\xd38 I',8750
b'\xd2\xeb\xeb\xc3',8681
b'c9\xbb\xf9',8678
b'#\n\xd7\x0f',8674
b'G\xac_G',8669
b'f\x06\x9c\x92',8664
b'c9\xbb\xeb',8635
b'{\xdb\xb2M',8618
b'E*\x9ec',8604
b'~)x~',8600
b'\xcf\x88\xb0;',8597
b'\x87\x97\xd2\x18',8585
b'\x82\r~B',8541
b'\xdc\x1bP\xe5',8494
b'\x82\t\t\xde',8483
b'c9\xbb\xfd',8458
b'H\x15\xa4\xe0',8441
b'\x80-\xf0\xb3',8418
b'c9\xbb\xfc',8387
b'c9\xbb\xfe',8384
b'c9\xbb\xea',8379
b'o\xfd\x80\xfd',8354
b'c9\xbb\xfa',8328
b'+\x13\x0f\xd9',8317
b'lw\x01\xf6',8296
b'\xd4\xf6Ui',8283
