Element,Count
b'h\xa7\xcfX\xde-h\xef\x88\xbb\xa0\xf8\x11',17356
b'\xcf\x88\xee\xa0\x17\x01\x01`\xa6\xcc\x01\xbb\x06',17354
b'w\xa9\x9a\x0b\xf9e+\xfc\xe2+\x00P\x06',17276
b'\nbP\x88\xc0\xf0+\xfc\xe2\x07\x00P\x06',17262
b'z\x0e%\xd8\xe8\xbc+\xfc\xe1P\x00P\x06',17209
"b'\xdc\x90\xcd\x9d\xdb\xe7\x01:""\xb1\x00P\x06'",17040
"b""\x82'\xf4j\xd8\x88+\xfc\xe0\x9b\x00P\x06""",16923
b'\xb7\xdaIP\xca\x11+\xfc\xe2\x07\x00P\x06',16751
b'oH\x93\xb5\xee\xd9o\xcd\xe4\x7f\x1f\x90\x11',16451
b'p\x7f\xe9\x17\xfe\xf2\x01`\xa7\x1a\x01\xbb\x06',16394
b'\x80-!\x1e\xbd`\x01`\xa7g\x01\xbb\x06',16369
b'r\x02\x14\x91\xf7\x00+\xfc\xe1\x1b\x00P\x06',16242
b'A\xad4b\xb9\xf5\xdd.\xdc\xf2\x00P\x06',16216
b'\x99\xc1\x89\x07%\n\xd0\xe9\xff\x14\xcf\x10\x06',16202
b'jZf\xda\xfc\xd8h\xef\x88\xe7\x1f\x90\x11',16080
b'\xce\x96]\xca\xcf\t+\xfc\xe1\x1b\x00P\x06',16039
b'\x87n\xcd\x9dh\x86o\xcd\xe4\xae6\x90\x11',16036
b'\xa9\xaf\xea_\x91!o\xcd\x19\xfa\x04\xaa\x11',15965
b'\xcf\x88\xbe\x94\xf1J\x01`\xa6\xcc\x01\xbb\x06',15916
"b""\x80'\xcd\xfa([\x01`\xa7\t\x01\xbb\x06""",15895
b'7}0\xfe\x00P\xdcs\x01\xa5\xe3b\x06',15858
"b""l\x0e\x92\xf8'\xf0\x01`\xa6\xc7\x01\xbb\x06""",15821
b'\x8e\x88\x8bu\xc6^\x03\x89\x9bZ\x01\xbb\x06',15816
b'\xb7\xe4_\xb8\xc7\xe4+\xfc\xe2\x07\x00P\x06',15743
b'\x1cG\x8a\xc4m\xe8\x01`\xa6\xfa\x01\xbb\x06',15720
"b""\xb8b\xb6\xa7\xfc\x8ch\xef\x88\x80#'\x11""",15706
b'\xb7\xacu\x9e\xc0z+\xfc\xe2\x18\x00P\x06',15615
"b'A\xad4S\xcb""\xdd.\xdc\xf3\x00P\x06'",15602
b'\x8209\x87\xee\x18+\xfc\xe0\x86\x00P\x06',15586
b'\xdc\x1bP\xc6\x00P++(\x18I\xa0\x06',15515
b'K@>o\xc8\xcd\x01`\x9bV\x01\xbb\x06',15494
b'\x82\x05\x1a\xea\xcbA+\xfc\xe2\x18\x00P\x06',15432
b'u}QR\xdc\xbc+\xfc\xe0\x9b\x00P\x06',15368
b'E\x0c\xd5\xf4\xb9\xf6\xdd.\xdc\xf0\x00P\x06',15344
b'z\x00\x10\x86\xd6\xc4+\xfc\xe1P\x00P\x06',15334
b'\x0c<\x96\xf5\xc09h\xef\x88\xf7\x10e\x06',15257
b'w\xe0\xfcRi\x10\x01`\xa6\xf0\x01\xbb\x06',15238
b'A\xad4a\xd0\xfb\xdd.\xdc\xf0\x00P\x06',15078
b'\xb7\xd8\x8f\x91\xf0\\+\xfc\xe1\x1b\x00P\x06',14829
b'o&\x05\x7f\x00P\x11\xea\xcf\x9e\xe7\xef\x06',14788
b'd\xa2\x1d<\xdc\x14\x9d\x0e\x1d\xb2\x1fI\x06',14768
b'\x84\xc7\xd3&.\xedo\xcd\xe4\xf7\xe5H\x11',14708
b'\xab\xa5\xc3\xd5\x00Po%\xc8\x95\xa5\xc3\x06',14697
b'uV\x85L\xc8a+\xfc\xe2\x1b\x00P\x06',14680
b'\x89\xe3\xc5+\xf9t\xdd.\xdc\xed\x00P\x06',14580
b'\x05\xfb\x16\xf7\xdd\x1e+\xfc\xe0\x07\x00P\x06',14463
b'\xc7\xe8~#\xd1\x1b\xdd.\xdc\xf3\x00P\x06',14438
b'p\x7f\xe1\x05\xc7{\x01`\xa6\xc7\x01\xbb\x06',14427
b'y\x83\xcc\x8dJM\x01`\xe7\xea\x01\xbb\x06',14421
b'\xd0}&\xc0\x07\x8fo9\x1fy\xe8\xb5\x06',14333
b'h\xb5HJ@\x12f\x03\xdd\xd2@\x12\x11',14326
b'+\x13\x0f\x8e\xe9\xf5\xdd.\xdc\xf2\x00P\x06',14184
b'H\xc5\x90\xd6\x94m\xd0#$\xc5\x00{\x11',14146
b'\x82:\xd6;\xc0\xc9+\xfc\xe2\x1a\x00P\x06',14133
b'l!wI8I\x01`\xa6\xcc\x01\xbb\x06',14113
b'\x82\x1a\xac\x05\xc8\x00+\xfc\xe2$\x00P\x06',13942
b'+\x93\xff]\xab\xd1\xdd.\xdc\xc9\x00P\x06',13910
