ID,Count
b'K]\xd9\xc6\x893\xc9\xef\xe3\x1d\n\xfc\x06',9202
b'I#\xa6\x80\xcec\xd3j\xef:\x15\xd6\x06',9201
b'\xce\x92\xa0\x80\xd4\xe2+\xfc\xe1\x1b\x00P\x06',9198
b'\x80\x02\x94\x10+*\x89\xb6O\xe4\x01\xbb\x06',9187
b'E\x0c\xd5\xf4\xb9\xf6\xdd.\xdc\xf0\x00P\x06',9179
b'\x06\x9e\xf4\xf9\xc9;\x01l\xc7X\x01\xbb\x06',9179
b'7}0\xfe\x00P\xdcs\x01\xa5\xe3b\x06',9179
"b""jT&\xd2\xa5h\x01'\xcdq${\x06""",9178
b'a\xd1\x84w\xd03o\xcd\xe4\xa8\x04\xaa\x11',9175
b'c9\xbb\xf9\x07o\x01&\xb2F${\x06',9174
b'w\x18\x03?VNo\xcd\xe4vr\x10\x11',9174
b'2\x19\xc7\x06\xe1\x0c\x01l\xcc1\x00P\x06',9167
b'\x17\xf4\x1a\x99\xe2\xa9o\xcd\x19\xf5\xc8\xae\x06',9165
b'p\x97\xa1\xa2\xa4=\x01`\x97\xb4\x00P\x06',9162
b'\x87n\xcd\x9dh\x86o\xcd\xe4\xae6\x90\x11',9162
b'\x06\x91\xf5\xfa\xa0\x08\x01\x02\x82\x10\x00P\x06',9154
b'c9\xbbd%\x12\x01\rp\xf6${\x06',9152
b'y\xc577!<\x01l\xc3\xf9\x01\xbb\x06',9143
b'\x94\xe9.\x8d\x8d\xe5\x01`\xf6/\x01\xbb\x06',9140
b'poaD\xc4\xf3\x01`\xa6\xec\x01\xbb\x06',9133
b'c9\xbb\xec\xef\x0f\x01d\xf7\xba${\x06',9129
b'\nG\xfc\x19\x00P\x03\x84\\\x1c\xb4U\x06',9121
b't\xa4\xda\xf7hN\x05\xf0\xd1<${\x06',9118
"b'\xd8\xf2\x08\xf4\xb5\x17\xdd\xc3\xe7""\x00\x15\x06'",9117
b'\x80\xaf\xf0\x8a\x9fy\x03\xfeAv\x01\xbb\x06',9102
b'[sy\xce.\x9cA\x8d\x98\xa9\x005\x11',9090
b'\x0c$\x02\x95\xc3M+\xfc\xe2*\x00P\x06',9087
b'z\x86\xe5\x04\x9f~+\xfc\xe2\x19\x00P\x06',9079
b'o%\xfa\xbbS\xc9k\x1c}\x8c\x00P\x06',9078
b'c9\xbbD\xa8\x98\x01\x98\xa4\xb6${\x06',9077
b'\xc9&\xf8\x83\xc6\x07o\xcd\xe4i\x1f\x90\x11',9077
"b'\x87L\xd4>\xd2\xfb\x16""\x85e\x00\x17\x06'",9075
b'c9\xbbD|\x82\x01\x9a`H${\x06',9074
b'\xd0}&\xc0\x07\x8fo9\x1fy\xe8\xb5\x06',9070
"b'c\x9e,\xb5\xcb\xf5\x01-!P\x1f\xa4\x06'",9070
b'k\xd5\x9f\xf8\xd0D\xc6U\x10\xed\x00P\x06',9069
b'p\x97\xa1\x9c\xae\xb8\x01`\xe6$\x00P\x06',9064
b'/?$\x7f\xdd`\x01`\xc2\x19\x01\xbb\x06',9064
b'z\x8bj\xcb\x8b\x82\x05\xf0\x9f&${\x06',9064
b'+\xf0\xa6t\xdaa\x01\x925\xee\x01\xbb\x06',9061
b'\x1f\xad\xfc\x10\x8c\x10\x99\xc1.:\x01\xbb\x06',9060
b'`0\x16\n\xda\x00#\xf0\xcb\xd5\x00P\x06',9060
b'2\x9e\xc1\xfb\x1c0\x01-{\\\x00P\x06',9054
b'\xafO\xa8_\x01\xbbJ7\xc2Y\xc0\x0c\x06',9053
b'c\x06\xdf\xa0\x96B\x01\x91\xa2g\x00P\x06',9049
b'\xce\x96]\xca\xcf\t+\xfc\xe1\x1b\x00P\x06',9049
b'OZ\x0e\xae\xdc\xf1o\xcd\x19\xf0\x1f\x90\x11',9042
"b'\xcb""q\xa0\x83\x03+\xfc\xe2\x1b\x00P\x06'",9038
b'~\xf0E\x8b\xe9\xce+\xef\x95\xad\x01\xbb\x06',9037
b'\x01\x82\xea\x05\xd8K\xd2lM\xbc\x01\xbb\x06',9032
b'v\x8d\xa7*\xe6\xfa\x01`\x9b\x08\x01\xbb\x06',9029
b'$0\x1c\x8d\xa4\xfc+\xef\xc3h\x01\xbb\x06',9025
b'\x06\x8bs*\xf9\xb0+\xfc\xe2$\x00P\x06',9008
b'\xd3I\x07S\xc7\xfb+\xfc\xe04\x00P\x06',9006
b'sY\xf2\x1e\x14T\x01`\x9bX\x01\xbb\x06',8998
b'`n>a\x9b\x9bk\x1d\xc8(\x00P\x06',8998
b'c9\xbb\xf99W\x01\x98\xfe\x9a${\x06',8992
b'\x9a\xac\xf7\xcfW\x80f+\xabV\x01\xbb\x06',8983
b'\xdc\x1bP\xe7\x00P++(\x1d|i\x06',8983
b'\x84\t4\xf0\xd5Oh\xef\x8b\x9b\x00P\x06',8980
b'\xdd\x01b\xdd\xdd\xcb\xdd.\xdc\xef\x00P\x06',8977
b'\xb7\xe8L\xb1\xffg+\xfc\xe1\x1b\x00P\x06',8971
b'q\xa1\x13\x98\xc5\xdd\x01`\xdf\x92\x00P\x06',8967
b'\x12\xde\xdf\x01\x01\xbbh\xef\x88\x98\xd0\x01\x06',8967
b'\xd4\xf6Ui\x90\x80\x01`\x97\xda\x01\xbb\x06',8967
b'\x90\xb9kA\xc7O\x03\xf9\xd0K\x00P\x06',8965
b'I\x00\x12O\xfa\t\xdd.\xdd #Z\x06',8958
b'p\x97\xa1\x80\xdev\x01`\x91\xd9\x00P\x06',8955
b'\r\x1bx\x9b\xff5+\xfc\xe2\x1b\x00P\x06',8955
b'c\x8b\xe0\xe5\xc8\x99k\x1e\x80\x0c\x00P\x06',8953
b'\nLl>\xf5\xfa\x01`\xa7\t\x01\xbb\x06',8953
b'\xc5#\x06!\x05\xa4I\x06\xa6s\x96l\x06',8952
b'`cv\x88B\xdc\x01P\x91\xff${\x06',8950
b'\xc5\x16\x7f.\xcf`+\xfc\xe2\x1a\x00P\x06',8950
b'c9\xbbS\xc1\xb5k\x1c\xbf}${\x06',8949
b'c\x8d\x9a\x8b^#+\xfc\xe0D\x01\xbb\x06',8948
b'\x89\xc4\xcfg\x92\xdd\x99\xc1.\xd9\x01\xbb\x06',8947
b'\x86\x82d8k\xe1f\x00\xedP$\xcf\x11',8946
b'c9\xbbK\xadJ\x01n\xa7^${\x06',8945
b'\xce \x8d\xb1i\x1f\x01#\x16^${\x06',8942
b'\xb7\xd8\x8f\x91\xf0\\+\xfc\xe1\x1b\x00P\x06',8942
b'\x82Ml\x11\x83G\x01\x94<P\x00P\x06',8941
b'\n\tK\xee\xa3|\x01fU?\x00P\x06',8938
b'p\xe01\xdd\xd2P\x01`\xe64\x00P\x06',8938
b'\x89\xe5\x9fs\x005\x16\x93?N\x9f\xda\x11',8934
b'c9\xbbcYI\x01%5\xbb${\x06',8934
b'\x06\x91\xc5R\xdd5\xd3{\xfb\x1d\x01\xbb\x06',8933
b'c9\xbbf9(\x01\x9aN\x97${\x06',8931
b'p\x97\xa1\xa2\xc6m\x01`\xc2-\x00P\x06',8931
"b'c9\xbb\x7f5V\x01""Z\xcb${\x06'",8928
b'A\x90_\xebM\xcah\xd1c-\x86k\x11',8928
b'o%\xe3\xb2\xc0\x9f\x01`\x90S\x00P\x06',8926
b'$\x8a8Iz\xe4+\xecN\xd3\x01\xbb\x06',8924
"b'c9\xbb|\xa8\xec\x01""\xb5\xfc${\x06'",8923
b'\xc6]\xf6\xd0\x00Po\xccOF4\xcd\x06',8922
b'm\x93\x08\x0c$Z\x05\xf1\xc8e${\x06',8919
b'$o[\xbb\xcc\x85+\xfc\xe0\x9a\x01\xbb\x06',8917
b'\x80&K\xc4\x8b\xb5\x01`\xa7\t\x01\xbb\x06',8915
b'\x80-\xe5dw\xd2\x01`\xa6\xec\x01\xbb\x06',8915
b'\x89\xc4\xcf\xf4\xc7\xd2\xdd.\xdd\x18\x00P\x06',8913
b's\xf8\xc7j\x88\xbc\x01f\xf8\xac\x01\xbb\x06',8913
b'\xd4\xed\xf03e\xe5\xc6aU\r\xe90\x11',8910
b'p\x89\xfe\x89\x84-\x01`\x8ev\x01\xbb\x06',8909
b'u[YN\xc0\x1e\x01`\xf5\x85\x00P\x06',8908
b'l\x15\x14|i\xde\x01`\xa7\xc7\x01\xbb\x06',8905
b'E\x0c\xfe=\x91G\xdd.\xdd\xdf#R\x11',8900
b'c9\xbbPx/\x01n\x9f\t${\x06',8897
b'p\x97\xa1\x01\xb4\x95\x01`\xb9x\x00P\x06',8896
b'l\x8cS\xe2[\xf3k\x1d\xff:\x00P\x06',8895
b'\xc7\x946\xbb\x00P\x99\xc1.\x1c\xdf\xdd\x06',8888
b'\xdc\x1bP\xc6\x00P++(\x11\x1e\x94\x06',8888
b'sY\x8a\xda\xd5\xe4\x01`\xc1*\x01\xbb\x06',8887
b'c\x8d\x99:\xe4\x1b+\xfc\xe0\xb6\x01\xbb\x06',8881
b'~k\xc2\x19\xdd\xd5\x01`\xde\xf4\x01\xbb\x06',8881
b'\x82.\xc0\xc3\xd1\xf1+\xfc\xe0\x9b\x00P\x06',8878
b'~\xf0\x9c\xa4\xe1Q\xd2lM\x87\x01\xbb\x06',8877
b'~.\x0c`\xdc9+\xfc\xe2\x1b\x00P\x06',8876
b'\xd6Q\x9a\t\xe7\\\xc6X\xdb1\xac\x1c\x11',8876
"b'c\x9e,{\xbc\xd0\x01BP1\x1f\xa4\x06'",8875
b'\x1d\xb9\x7f\xd3_\x85\xdd\xc3\xe7&\x00\x14\x06',8874
b't\xa4\xd6\x9f\x19\\\x05\xf3\xe3\xef\x01\xbb\x06',8870
b'p\x89\xfe\x0f/b\x01`\xe4[\x01\xbb\x06',8866
b'\x1c\xe8+6\xb6*\x01k\xccE\x01\xbb\x06',8859
b'c\x8d\x99\xf2\x88\xce+\xfc\xe0D\x01\xbb\x06',8858
b'f\x0ff\x97\xc1\xfa\x01k\xc4\xe1\x01\xbb\x06',8857
